Salary;Role;Company
47200;менеджер по социальным сетям;Icahn Enterprises
44800;Фронтенд веб-разработчик; PNC Financial Services Group
48800;менеджер по контролю качества;United Services Automobile Assn.
52000;инженер беспроводной сети;Hess
51200;менеджер по проведению конференций;Cairn Energy
47200;Аналитик по обеспечению качества;Adani Ports and Special Economic Zone
50400;классный руководитель;FedEx
52000;дизайнер пользовательского интерфейса;Ryder System
52000;Дизайнер интерфейсов;Zee Entertainment Enterprises
48000;свадебный консультант;CSX
45600;специалист по тестированию производительности;Вкусно и точка
51200;адвокат по семейному праву;TPG Telecom
52000;инженер-механик;ThyssenKrupp AG
44800;аналитик по сетевой безопасности;EnLink Midstream
45600;менеджер по работе с клиентами;NGL Energy Partners
52000;бренд-менеджер по продукции;Bayer AG
48000;социальный работник в школе;Deere
44000;создатель контента;Mondelez International
44000;Аналитик по доставке; 3M
52000;координатор по кадрам;KKR
49600;юридический секретарь;NGL Energy Partners
51200;Семейная медсестра;EasyJet
46400;Стратег по работе с клиентами;Otis Worldwide
49600; Бэкэнд разработчик; Oil Search
48000;Координатор цепочки поставок;HCL Technologies
46400;Координатор цепочки поставок;DTE Energy
47200;B2B Консультант по продажам;Associated British Foods
51200;инженер-строитель;Xcel Energy
50400;аналитик центра управления безопасностью;Deutsche Post DHL Group
52000; фронт-энд разработчик;Bodycote
44000;Специалист по планированию налогов;Old Republic International
52000;Координатор мероприятий;United Airlines Holdings
45600;клинический психолог;Tenet Healthcare
52000;инженер-электрик;Regions Financial
49600;Дизайнер по освещению;CBRE Group
46400; Бизнес-аналитик;Отель Луна
48000;контент-писатель;Corning
51200;дизайнер пользовательского интерфейса;Leidos Holdings
45600;персональный налоговый консультант;Divi's Laboratories
46400;тестировщик автоматизированного оборудования; Tata Consumer Products
44800; руководитель отдела продаж;Fannie Mae
44000;специалист по ИТ-поддержке;Spotify Technology S.A.
49600;специалист по работе с клиентами;Bajaj Auto
52000;менеджер по социальным сетям;Renishaw
44800;разработчик баз данных;News Corp.
47200;Исследователь в области социальных наук;KKR
44800; Регистратор; Arconic
51200;штатная медсестра;Revlon
47200;международный налоговый консультант;Dow
45600;аналитик по рискам;Seaboard
49600;логопед;Всезнайка
44000;региональный директор по продажам;Enterprise Products Partners
47200;консультант по вопросам психического здоровья;Bayer AG
47200; Семейная медсестра-практикант;Carrier Global
51200;Градостроитель;UnitedHealth Group
48000;Менеджер по работе со стратегическими клиентами;Avnet
50400;Исследователь пользователей;UGI
45600;менеджер по работе с клиентами;Disney+
52000;финансовый аналитик;General Electric
52000;техник по поддержке настольных компьютеров;Brighthouse Financial
48800;художественный куратор;Deutsche Pfandbriefbank AG
45600;Sales Account Executive;GlaxoSmithKline
44800;разработчик мобильных приложений;Starbucks
52000;Agile Project Manager;Hindalco Industries
52000;инженер-строитель;Lincoln National
44000;менеджер по обеспечению качества обслуживания;HCL Technologies
47200;аналитик по закупкам;Nestle India
50400;семейный консультант;Электрокомпоненты
51200;аналитик по логистике;Community Health Systems
44800;архитектор данных;Equitable Holdings
51200;региональный директор по продажам;Bajaj Finserv
46400;аналитик по логистике;PulteGroup
44800;дизайнер пользовательского интерфейса;Stockland Corporation
52000;аналитик по обеспечению качества;Group 1 Automotive
51200;аналитик по обеспечению качества;Altria Group
48000;Специалист по документации;Reynolds American Inc.
44000;финансовый бухгалтер;Huntsman
